"","x"
"1","1"
"2","0"
"3","0"
"4","0"
"5","0"
"6","1"
"7","0"
"8","0"
"9","0"
"10","0"
"11","1"
"12","0"
"13","0"
"14","0"
"15","1"
"16","0"
"17","1"
"18","1"
"19","1"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","1"
"27","0"
"28","0"
"29","1"
"30","1"
"31","0"
"32","0"
"33","0"
"34","0"
"35","1"
"36","1"
"37","0"
"38","1"
"39","1"
"40","1"
"41","1"
"42","0"
"43","0"
"44","1"
"45","1"
"46","1"
"47","1"
"48","0"
"49","1"
"50","0"
"51","1"
"52","0"
"53","0"
"54","1"
"55","0"
"56","1"
"57","1"
"58","0"
"59","0"
"60","0"
"61","0"
"62","1"
"63","1"
"64","1"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","1"
"75","0"
"76","1"
"77","1"
"78","0"
"79","1"
"80","1"
"81","1"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","0"
"89","0"
"90","1"
"91","0"
"92","0"
"93","1"
"94","0"
"95","1"
"96","1"
"97","0"
"98","1"
"99","0"
"100","0"
"101","0"
"102","1"
"103","0"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","1"
"111","0"
"112","1"
"113","1"
"114","0"
"115","0"
"116","1"
"117","0"
"118","0"
"119","0"
"120","1"
"121","0"
"122","1"
"123","1"
"124","1"
"125","0"
"126","0"
"127","1"
"128","1"
"129","1"
"130","0"
"131","0"
"132","0"
"133","0"
"134","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","0"
"140","0"
"141","1"
"142","0"
"143","1"
"144","1"
"145","0"
"146","1"
"147","1"
"148","1"
"149","1"
"150","0"
"151","0"
"152","0"
"153","1"
"154","1"
"155","1"
"156","0"
"157","0"
"158","1"
"159","0"
"160","1"
"161","0"
"162","0"
"163","0"
"164","1"
"165","1"
"166","0"
"167","0"
"168","1"
"169","0"
"170","1"
"171","1"
"172","1"
"173","0"
"174","0"
"175","0"
"176","0"
"177","1"
"178","0"
"179","0"
"180","0"
"181","0"
"182","1"
"183","0"
"184","1"
"185","0"
"186","0"
"187","0"
"188","0"
"189","0"
"190","0"
"191","1"
"192","1"
"193","0"
"194","0"
"195","0"
"196","0"
"197","1"
"198","0"
"199","1"
"200","0"
"201","1"
"202","0"
"203","0"
"204","0"
"205","1"
"206","0"
"207","1"
"208","1"
"209","1"
"210","1"
"211","0"
"212","0"
"213","0"
"214","0"
"215","0"
"216","0"
"217","1"
"218","0"
"219","0"
"220","0"
"221","1"
"222","0"
"223","0"
"224","0"
"225","1"
"226","1"
"227","0"
"228","0"
"229","0"
"230","0"
"231","0"
"232","0"
"233","0"
"234","1"
"235","1"
"236","0"
"237","1"
"238","0"
"239","1"
"240","0"
"241","0"
"242","0"
"243","1"
"244","0"
"245","1"
"246","0"
"247","1"
"248","1"
"249","0"
"250","0"
"251","1"
"252","1"
"253","0"
"254","1"
"255","0"
"256","0"
"257","0"
"258","1"
"259","0"
"260","0"
"261","0"
"262","0"
"263","0"
"264","0"
"265","0"
"266","0"
"267","1"
"268","1"
"269","1"
"270","0"
"271","0"
"272","1"
"273","1"
"274","1"
"275","0"
"276","0"
"277","0"
"278","0"
"279","0"
"280","0"
"281","0"
"282","1"
"283","1"
"284","1"
"285","0"
"286","1"
"287","1"
"288","1"
"289","0"
"290","0"
"291","1"
"292","1"
"293","1"
"294","0"
"295","0"
"296","0"
"297","0"
"298","1"
"299","1"
"300","0"
"301","0"
"302","1"
"303","0"
"304","0"
"305","0"
"306","0"
"307","0"
"308","1"
"309","0"
"310","0"
"311","1"
"312","0"
"313","0"
"314","1"
"315","1"
"316","0"
"317","0"
"318","1"
"319","0"
"320","0"
"321","0"
"322","1"
"323","1"
"324","0"
"325","1"
"326","1"
"327","0"
"328","1"
"329","1"
"330","0"
"331","0"
"332","1"
"333","0"
"334","0"
"335","1"
"336","0"
"337","0"
"338","0"
"339","0"
"340","0"
"341","1"
"342","1"
"343","0"
"344","1"
"345","0"
"346","1"
"347","0"
"348","1"
"349","0"
"350","0"
"351","1"
"352","0"
"353","0"
"354","1"
"355","0"
"356","0"
"357","1"
"358","1"
"359","1"
"360","0"
"361","1"
"362","1"
"363","0"
"364","0"
"365","1"
"366","0"
"367","1"
"368","1"
"369","0"
"370","0"
"371","1"
"372","1"
"373","0"
"374","1"
"375","0"
"376","0"
"377","0"
"378","1"
"379","1"
"380","0"
"381","0"
"382","1"
"383","1"
"384","0"
"385","0"
"386","0"
"387","0"
"388","1"
"389","1"
"390","1"
"391","0"
"392","1"
"393","0"
"394","0"
"395","0"
"396","1"
"397","1"
"398","1"
"399","1"
"400","0"
"401","0"
"402","1"
"403","0"
"404","0"
"405","1"
"406","0"
"407","0"
"408","1"
"409","1"
"410","0"
"411","1"
"412","0"
"413","1"
"414","0"
"415","1"
"416","0"
"417","0"
"418","1"
"419","0"
"420","1"
"421","0"
"422","0"
"423","0"
"424","1"
"425","0"
"426","1"
"427","1"
"428","1"
"429","1"
"430","0"
"431","0"
"432","0"
"433","1"
"434","0"
"435","1"
"436","0"
"437","1"
"438","0"
"439","1"
"440","0"
"441","0"
"442","0"
"443","0"
"444","1"
"445","0"
"446","0"
"447","0"
"448","1"
"449","1"
"450","0"
"451","0"
"452","0"
"453","1"
"454","1"
"455","1"
"456","0"
"457","0"
"458","0"
"459","1"
"460","1"
"461","0"
"462","1"
"463","0"
"464","1"
"465","0"
"466","0"
"467","1"
"468","0"
"469","1"
"470","0"
"471","1"
"472","0"
"473","1"
"474","0"
"475","0"
"476","0"
"477","0"
"478","1"
"479","0"
"480","0"
"481","1"
"482","1"
"483","1"
"484","0"
"485","0"
"486","1"
"487","1"
"488","0"
"489","0"
"490","0"
"491","0"
"492","1"
"493","0"
"494","0"
"495","1"
"496","0"
"497","1"
"498","1"
"499","0"
"500","0"
"501","0"
"502","0"
"503","1"
"504","1"
"505","0"
"506","1"
"507","0"
"508","0"
"509","0"
"510","1"
"511","0"
"512","1"
"513","0"
"514","0"
"515","0"
"516","1"
"517","0"
"518","0"
"519","0"
"520","0"
"521","1"
"522","0"
"523","1"
"524","1"
"525","0"
"526","0"
"527","0"
"528","1"
"529","0"
"530","0"
"531","0"
"532","0"
"533","0"
"534","0"
"535","1"
"536","0"
"537","0"
"538","0"
"539","0"
"540","1"
"541","0"
"542","1"
"543","0"
"544","1"
"545","0"
"546","0"
"547","0"
"548","0"
"549","0"
"550","0"
"551","1"
"552","1"
"553","1"
"554","0"
"555","0"
"556","0"
"557","0"
"558","0"
"559","0"
"560","1"
"561","0"
"562","0"
