"","V1"
"1324",1
"3627",0
"1881",0
"4061",0
"4324",0
"210",1
"2427",1
"4100",0
"2533",0
"2097",1
"4393",1
"2081",1
"3110",0
"2628",0
"473",1
"4127",0
"1129",1
"193",0
"1503",0
"4374",1
"4075",1
"3174",0
"2933",1
"4552",0
"3002",0
"3243",0
"2490",0
"2718",0
"1323",1
"673",1
"4402",1
"4124",1
"3156",1
"3634",0
"113",1
"2182",0
"3463",1
"988",1
"1452",1
"1057",0
"652",1
"1891",0
"1887",1
"1682",1
"695",1
"633",1
"1062",1
"2122",1
"1211",1
"3905",1
"209",0
"2013",1
"3635",1
"555",1
"2551",0
"939",1
"580",1
"3424",0
"4067",0
"1701",0
"3021",0
"431",1
"1743",1
"1246",1
"3697",0
"2035",0
"3674",1
"3684",0
"3601",0
"1994",1
"3419",0
"2851",0
"3217",0
"3",1
"2152",0
"997",1
"1719",1
"2773",0
"1592",0
"503",1
"1102",0
"3020",0
"1888",0
"3562",0
"465",0
"1964",1
"4448",1
"4032",1
"4001",0
"790",0
"590",0
"2946",1
"1549",1
"2961",0
"1444",1
"846",1
"3525",1
"422",1
"2102",1
"2303",0
"2701",0
"1498",1
"2199",0
"4294",1
"2172",1
"4004",0
"4111",0
"2736",0
"1846",0
"661",1
"4201",1
"1353",1
"273",1
"4254",1
"3234",0
"639",1
"2464",1
"4279",1
"2625",0
"1814",1
"2904",0
"1433",1
"1379",1
"985",1
"1655",1
"4406",1
"691",0
"408",1
"635",1
"3086",0
"2769",1
"3985",1
"3008",1
"3294",1
"2328",1
"2947",1
"3670",0
"3510",0
"4373",1
"1961",0
"1391",2
"1827",1
"47",1
"820",1
"3757",1
"1031",1
"1066",1
"342",1
"1095",0
"3260",1
"3773",1
"2214",0
"1726",1
"1097",1
"495",1
"1734",0
"2543",0
"964",1
"1977",0
"969",1
"2231",1
"1572",1
"2886",0
"1663",1
"1578",1
"2368",0
"3284",0
"981",1
"1830",0
"1178",0
"2792",0
"815",1
"3826",0
"3306",1
"2959",1
"4494",0
"1648",1
"2344",0
"3869",0
"2573",1
"3713",1
"1382",1
"3130",1
"1171",0
"2626",0
"2126",0
"4418",0
"2493",0
"4030",0
"3980",0
"1210",1
"1418",1
"4346",0
"2733",0
"4131",0
"2056",0
"1793",1
"4481",0
"671",1
"2522",0
"1051",1
"4235",0
"2646",0
"2266",0
"1771",1
"3870",0
"1601",1
"1267",1
"750",1
"757",1
"2117",1
"1111",0
"950",1
"2960",0
"4596",0
"3074",0
"1544",1
"4405",1
